LastName,FirstName,PrimarySmtpAddress,Password,Localisation,Type,GroupMembers,Capacity,Fullaccess
Dupont,Thomas,t.dupont@comiky.fr,P@s$w0rd,Paris,mailbox,,,
Contact,Comiky,contact@comiky.fr,,New York,groupe,t.dupont@comiky.fr,,
Grande,Salle,grande.salle@comiky.fr,,New York,Room,,10,
Projecteur,E270,projecteurE270@comiky.fr,,New York,Equipment,,,
Rose,Elodie,r.elodie@comiky.fr,P@s$w0rd,Paris,mailbox,,,
Dupont,Marc,d.marc@comiky.fr,P@s$w0rd,Paris,mailbox,,,
Fernan,Jose,f.jose@comiky.fr,P@s$w0rd,Paris,mailbox,,,
Amar,Malik,a.malik@comiky.fr,P@s$w0rd,Paris,mailbox,,,
Darte,Delphine,d.delphine@comiky.fr,P@s$w0rd,Paris,mailbox,,,
Support,Paris,s.paris@comiky.fr,,Paris,shared,,,d.delphine@comiky.fr
Support,IT,s.it@comiky.fr,,Paris,Contact,,,
Presta,Cafetiere,p.cafetiere@comiky.fr,,Paris,Contact,,,
Projecteur,E280,projecteurE280@comiky.fr,,Paris,Equipment,,,
SalleParis,rdc,rdcparis@comiky.fr,,Paris,Room,,5,
Tout,Paris,toutparis@comiky.fr,,Paris,groupe,s.paris@comiky.fr,,
John,Smith,j.smith@comiky.fr,P@s$w0rd,New York,mailbox,,,
Markus,Detroit,m.detroit@comiky.fr,P@s$w0rd,New York,mailbox,,,
William,Smith,w.smith@comiky.fr,P@s$w0rd,New York,mailbox,,,
Support,IT,s.it-NY@comiky.fr,,New York,Contact,,,
Support,NY,s.ny@comiky.fr,,New York,shared,,,w.smith@comiky.fr
Projecteur,E280,projecteurE280-2@comiky.fr,,New York,Equipment,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
